check,quarter,manager,cusip,classification,resolution,reference,reviewed_by,reviewed_date
qoq-price,2026Q2,giverny,78463V107,filer-value-anomaly,Giverny reports $25.0m for 3876 GLD shares implying $6458.50 versus about $368 cross-sectionally; preserve as filed and flag,SEC accession 0001641864-26-000005; State Street GLD data,Codex audit,2026-08-17
qoq-shares,2024Q3,coatue,47215P106,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q3,maverick-capital,64110L106,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q4,giverny,28176E108,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q4,tiger-global,L8681T102,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q1,maverick-capital,254709108,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q2,lindsell-train,02079K305,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q2,maverick-capital,881624209,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q3,maverick-capital,704551100,confirmed-reported-trade,Raw SEC shares and values reconcile and the reported price is internally plausible,SEC accessions in evidence filings.csv; raw XML check,Codex audit,2026-08-17
qoq-shares,2025Q3,maverick-capital,824348106,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q4,coatue,G9572D103,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q1,situational-awareness,458140100,confirmed-reported-trade,Raw SEC filing shows a one-share marker position followed by 202344 shares; implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,fundsmith,872540109,confirmed-reported-trade,Both Fundsmith filer rows reconcile to raw SEC XML and their implied price matches the quarter-end cross-section,SEC accessions 0001569205-26-000012 and 0001868537-26-000007,Codex audit,2026-08-17
qoq-shares,2026Q2,fundsmith,874039100,confirmed-reported-trade,Both Fundsmith filer rows reconcile to raw SEC XML and their implied price matches eleven peer books,SEC accessions 0001569205-26-000012 and 0001868537-26-000007,Codex audit,2026-08-17
qoq-shares,2026Q2,maverick-capital,038222105,confirmed-reported-trade,Raw SEC filing reports the near-exit and its implied price matches five peer books,SEC accession 0000947871-26-000793; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,maverick-capital,N07059210,confirmed-reported-trade,Raw SEC filing reports the near-exit and its implied price matches five peer books,SEC accession 0000947871-26-000793; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,situational-awareness,595112103,confirmed-reported-trade,Raw SEC filing reports the large MU addition and its implied price matches six peer books,SEC accession 0000935836-26-000418; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,situational-awareness,874039100,confirmed-reported-trade,Raw SEC filing reports the large TSM addition and its implied price matches eleven peer books,SEC accession 0000935836-26-000418; cross-manager price check,Codex audit,2026-08-17
